code,title,page_reference,source_page,company
E1-1,Climate change mitigation policy,p. 45,17,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,Company culture,p. 17,17,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S2-3,"DEI (Diversity, Equity, and Inclusion)",p. 17,17,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S3-5,Social impact,p. 17,17,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G1-1,Company culture,p. 17,17,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G1-2,"DEI (Diversity, Equity, and Inclusion)",p. 17,17,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G2-4,Data privacy,p. 17,17,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
E1-1,Climate change mitigation policy,p. 45,96,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S4-7,Local communities,p. 96,96,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
E1-1,Climate change mitigation policy,p. 45,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,Materiality assessment process,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-2,Stakeholder feedback analysis,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-3,Regular process for stakeholder feedback,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-4,Alignment of sustainability reporting with business objectives,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S2-3,Materiality assessment for CSRD requirements,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S3-3,Methodology refinement for materiality assessment,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S3-6,Engagement with external stakeholders,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G1-1,Four-step methodology for materiality assessment,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G1-2,Engagement with key stakeholder groups,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G1-3,Explanation of materiality assessment steps,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
E3-3,Boundaries identification using LEAP approach,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S3-1,Refinement of potential sustainability matters,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S3-2,Consultation with relevant sources,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S3-4,Assessment of long-listed sustainability matters,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S3-5,Shortlisting of sustainability matters for Adyen,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S4-3,Alignment of topics with ESG dimensions,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S4-4,Stakeholder engagement for in-depth assessment,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G2-1,Establishment of thresholds and scoring criteria,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G2-2,Alignment with ESRS principles,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G2-3,Assessment of impact materiality,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G2-4,Criteria for assessing impact on people and environment,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G2-5,Consideration of human rights impacts,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G2-6,Assessment of financial materiality,,107,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
E1-1,Climate change,p. 109,109,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-1,Company culture,p. 109,109,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-7,DEI,p. 109,109,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S1-3,Learning & development,p. 109,109,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S2-1,Social impact,p. 109,109,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
S2-2,Impact technology,p. 109,109,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G1-1,Business conduct,p. 109,109,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G1-7,Information security,p. 109,109,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
G1-9,Data privacy,p. 109,109,20240303-CO-Investor-Relations-Annual Report-&-Consolidated-Financial-Statements-2024
